"Date","ReferenceNo.","Type","Description","Debit","Credit","CheckNumber","Balance"
"12/20/2023","","DEBIT","Withdrawal-ACH-A-983291 WEBADVS ED SERV WEB (STUDNTLOAN)","-201.16","","","-5.52"
"12/20/2023","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","123.73","","118.21"
"12/20/2023","","DEBIT","Withdrawal ACH SHARE TRANSFER FEE","-2","","","116.21"
"12/20/2023","","DEBIT","Withdrawal  @ VENMO* 0 VENMO* Visa Direct NY US","-30","","","86.21"
"12/20/2023","","CREDIT","Checking Deposit  @ VENMO*Del Fava Marc 0 VENMO*Del Fava M New York CityNY US","","22.6","","108.81"
"12/20/2023","","DEBIT","Withdrawal  @ APPLE.COM/BILL 0 APPLE.COM/BILL 866-712-7753 CA US","-7.99","","","100.82"
"12/20/2023","","DEBIT","Withdrawal  @ CASH APP*MICHAEL LE 0 CASH APP*MICHAEL 800-9691940 CA US","-20","","","80.82"
"12/21/2023","","DEBIT","Withdrawal  @ CASH APP*TEMPLE COF 0 CASH APP*TEMPLE 800-9691940 CA US","-9.92","","","70.9"
"12/22/2023","","DEBIT","Withdrawal  @ BEATPORT 0 BEATPORT 720-974-9500 CO US","-9.16","","","61.74"
"12/22/2023","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","261.74"
"12/22/2023","","DEBIT","Withdrawal ATM OVERDRAFT PROTECTION FEE","-2","","","259.74"
"12/22/2023","","DEBIT","Withdrawal  @ SACRAMENTO NATURAL 0 SACRAMENTO NATUR SACRAMENTO CA US","-1.2","","","258.54"
"12/22/2023","","DEBIT","Withdrawal  @ TST* THE FLAMINGO H 0 TST* THE FLAMING SACRAMENTO CA US","-18.65","","","239.89"
"12/22/2023","","DEBIT","Withdrawal  @ SQ *TEMPLE COFFEE? 0 SQ *TEMPLE COFFE Sacramento CA US","-26.65","","","213.24"
"12/22/2023","","DEBIT","Withdrawal  @ SAIGON CORNER 0 SAIGON CORNER SACRAMENTO CA US","-32.96","","","180.28"
"12/22/2023","","DEBIT","Withdrawal  @ SACRAMENTO NATURAL 0 SACRAMENTO NATUR SACRAMENTO CA US","-42.63","","","137.65"
"12/22/2023","","DEBIT","Withdrawal  @ APPLE.COM/BILL 0 APPLE.COM/BILL 866-712-7753 CA US","-12.99","","","124.66"
"12/23/2023","","DEBIT","Withdrawal  @ BANDCAMP TSURUDA 0 BANDCAMP TSURUDA San Jose CA US","-3","","","121.66"
"12/23/2023","","DEBIT","Withdrawal  @ BANDCAMP LUMASI 0 BANDCAMP LUMASI San Jose CA US","-1","","","120.66"
"12/23/2023","","DEBIT","Withdrawal  @ BANDCAMP VISIVE 0 BANDCAMP VISIVE San Jose CA US","-1","","","119.66"
"12/23/2023","","DEBIT","Withdrawal  @ NETFLIX COM 0 NETFLIX COM LOS GATOS CA US","-15.49","","","104.17"
"12/23/2023","","DEBIT","Withdrawal  @ BEATPORT 0 BEATPORT 720-974-9500 CO US","-50.79","","","53.38"
"12/24/2023","","DEBIT","Withdrawal  @ RAMEN 101 MIDTOWN 0 RAMEN 101 MIDTOW SACRAMENTO CA US","-61.93","","","-8.55"
"12/24/2023","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","191.45"
"12/24/2023","","DEBIT","Withdrawal ATM OVERDRAFT PROTECTION FEE","-2","","","189.45"
"12/24/2023","","DEBIT","Withdrawal  @ UNIVERSITY ART CENT 0 UNIVERSITY ART C SACRAMENTO CA US","-65.11","","","124.34"
"12/24/2023","","DEBIT","Withdrawal  @ 2838 J ST RE 1 0 ARCO#83191J STRE SACRAMENTO CA US","-44.1","","","80.24"
"12/24/2023","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","280.24"
"12/24/2023","","DEBIT","Withdrawal  @ BANDCAMP FWD 0 BANDCAMP FWD 402-935-7733 CA US","-1.27","","","278.97"
"12/24/2023","","DEBIT","Withdrawal  @ SQ *CHOCOLATE FISH 0 SQ *CHOCOLATE FI Sacramento CA US","-21.2","","","257.77"
"12/24/2023","","DEBIT","Withdrawal  @ FLOWCHART FUN PRO 0 FLOWCHART FUN PR HTTPSFLOWCHARNC US","-3","","","254.77"
"12/24/2023","","DEBIT","Withdrawal  @ SAIGON CORNER 0 SAIGON CORNER SACRAMENTO CA US","-15.57","","","239.2"
"12/25/2023","","DEBIT","Withdrawal  @ BONFARE MARKET #33 0 BONFARE MARKET # SACRAMENTO CA US","-8.38","","","230.82"
"12/25/2023","","DEBIT","Withdrawal  @ SAFEWAY #2242 0 SAFEWAY #2242 SACRAMENTO CA US","-75.32","","","155.5"
"12/26/2023","","DEBIT","Withdrawal  @ SAFEWAY #2684 0 SAFEWAY #2684 SACRAMENTO CA US","-49.9","","","105.6"
"12/27/2023","","CREDIT","Checking Deposit  @ G1 Online Transfer 'STD' 800.00 from share 0","","800","","905.6"
"12/27/2023","","DEBIT","Withdrawal  @ SQ *TEMPLE COFFEE? 0 SQ *TEMPLE COFFE Sacramento CA US","-5.62","","","899.98"
"12/28/2023","","DEBIT","Withdrawal  @ SOUND KINGDOM II: M 0 SOUND KINGDOM II WEST VANCOUVEBC CA","-3.03","","","896.95"
"12/28/2023","","CREDIT","ISA Single-Currency Fee Assessed = 0.03 on 3.00","","0","","0.0"
"12/28/2023","","DEBIT","Withdrawal  @ SOUND KINGDOM II: F 0 SOUND KINGDOM II WEST VANCOUVEBC CA","-5.05","","","891.9"
"12/28/2023","","CREDIT","ISA Single-Currency Fee Assessed = 0.05 on 5.00","","0","","0.0"
"12/28/2023","","DEBIT","Withdrawal  @ Prime Video Channel 0 Prime Video Chan amzn.com/billWA US","-0.99","","","890.91"
"12/28/2023","","DEBIT","Withdrawal-ACH-A-990166 WEBHomeRiver Group (WEB PMTS)","-755","","","135.91"
"12/29/2023","","DEBIT","Withdrawal-ACH-A-1096016 ATT (Payment)","-79.99","","","55.92"
"12/30/2023","","DEBIT","Withdrawal  @ ADALBERTO'S MEXICAN 0 ADALBERTO'S MEXI SACRAMENTO CA US","-15.16","","","40.76"
"12/31/2023","","DEBIT","Withdrawal  @ EMBRACE PET INSURAN 0 EMBRACE PET INSU HELLO@EMBRACEOH US","-17.89","","","22.87"
"12/31/2023","","CREDIT","Checking Deposit  @ VENMO*Del Fava Marc 0 VENMO*Del Fava M New York CityNY US","","89.41","","112.28"
"12/31/2023","","DEBIT","Withdrawal  @ SACRAMENTO NATURAL 0 SACRAMENTO NATUR SACRAMENTO CA US","-85.88","","","26.4"
"1/1/2024","","DEBIT","Withdrawal  @ MICHAELS STORES 512 0 MICHAELS STORES SACRAMENTO CA US","-10.21","","","16.19"
"1/1/2024","","DEBIT","Withdrawal  @ GOOGLE*GSUITE BARKB 0 GOOGLE*GSUITE BA CC GOOGLE.COMCA US","-14.4","","","1.79"
"1/5/2024","","DEBIT","Withdrawal-ACH-A-861479 GEICO (PREM COLL)","-53.28","","","-51.49"
"1/5/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","0.03","","-51.46"
"1/5/2024","","DEBIT","Withdrawal COURTESY PAY FEE 20.00","-20","","","-71.46"
"1/5/2024","","CREDIT","A Courtesy Payment was made for the amount of 51.46.","","0","","0.0"
"1/5/2024","","CREDIT","Checking Deposit  @ G1 Online Transfer 'STD' 200.00 from share 0","","200","","128.54"
"1/6/2024","","DEBIT","Withdrawal  @ SQ *TEMPLE COFFEE 0 SQ *TEMPLE COFFE Sacramento CA US","-11.79","","","116.75"
"1/6/2024","","DEBIT","Withdrawal  @ APPLE.COM/BILL 0 APPLE.COM/BILL 866-712-7753 CA US","-2.99","","","113.76"
"1/6/2024","","DEBIT","Withdrawal  @ SACRAMENTO NATURAL 0 SACRAMENTO NATUR SACRAMENTO CA US","-195.38","","","-81.62"
"1/6/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","118.38"
"1/6/2024","","DEBIT","Withdrawal  @ CSI-210982/2216 0 CSI-210982/2216 SACRAMENTO CA US","-20","","","98.38"
"1/6/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","298.38"
"1/7/2024","","DEBIT","Withdrawal  @ Dr Martens Airwair 0 Dr Martens Airwa PORTLAND OR US","-106.68","","","191.7"
"1/7/2024","","DEBIT","Withdrawal  @ SOUNDCLOUD INC 0 SOUNDCLOUD INC 176-3257837 NY US","-16","","","175.7"
"1/7/2024","","DEBIT","Withdrawal  @ SAFEWAY #2242 0 SAFEWAY #2242 SACRAMENTO CA US","-78.87","","","96.83"
"1/7/2024","","DEBIT","Withdrawal  @ MELS MOCHA AND ICE 0 MELS MOCHA AND I WALNUT GROVE CA US","-3.6","","","93.23"
"1/7/2024","","DEBIT","Withdrawal  @ TARGET 00033 0 TARGET 00 SACRAMENTO CA US","-6.51","","","86.72"
"1/8/2024","","CREDIT","Checking Deposit  @ G1 Online Transfer 'STD' 60.00 from share 0","","60","","146.72"
"1/9/2024","","DEBIT","Withdrawal  @ La Popular Supermar 0 La Popular Super SACRAMENTO CA US","-16.62","","","130.1"
"1/10/2024","","DEBIT","Withdrawal  @ SACRAMENTO PIPEWORK 0 SACRAMENTO PIPEW WWW.TOUCHSTONCA US","-89","","","41.1"
"1/11/2024","","DEBIT","Withdrawal  @ BONFARE MARKET #33 0 BONFARE MARKET # SACRAMENTO CA US","-7.71","","","33.39"
"1/11/2024","","DEBIT","Withdrawal  @ SQ *TEMPLE COFFEE 0 SQ *TEMPLE COFFE Sacramento CA US","-12.02","","","21.37"
"1/11/2024","","DEBIT","Withdrawal  @ O'REILLY 2593 0 O'REILLY 2593 SACRAMENTO CA US","-38.74","","","-17.37"
"1/11/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","182.63"
"1/11/2024","","DEBIT","Withdrawal  @ SACRAMENTO NATURAL 0 SACRAMENTO NATUR SACRAMENTO CA US","-70","","","112.63"
"1/12/2024","","DEBIT","Withdrawal  @ SHELL SERVICE STATI 0 SHELL SERVICE ST SACRAMENTO CA US","-57.45","","","55.18"
"1/12/2024","","DEBIT","Withdrawal  @ I LOVE TERIYAKI 0 I LOVE TERIYAKI SACRAMENTO CA US","-16.14","","","39.04"
"1/13/2024","","DEBIT","Withdrawal  @ TST* CAFE COLONIAL 0 TST* CAFE COLONI Sacramento CA US","-21","","","18.04"
"1/13/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","218.04"
"1/13/2024","","DEBIT","Withdrawal  @ SQ *TEMPLE COFFEE 0 SQ *TEMPLE COFFE Sacramento CA US","-13.68","","","204.36"
"1/13/2024","","DEBIT","Withdrawal  @ JACK IN THE BOX 430 0 JACK IN THE BOX SACRAMENTO CA US","-11.61","","","192.75"
"1/14/2024","","DEBIT","Withdrawal  @ PETCO 1343 0 PETCO 1343 SACRAMENTO CA US","-105.42","","","87.33"
"1/14/2024","","DEBIT","Withdrawal  @ DALEK ONE* SUBSCR 1 0 DALEK ONE* SUBSC HTTPSDALEKONEMN US","-7","","","80.33"
"1/14/2024","","DEBIT","Withdrawal  @ SACRAMENTO NATURAL 0 SACRAMENTO NATUR SACRAMENTO CA US","-64.9","","","15.43"
"1/15/2024","","DEBIT","Withdrawal  @ SACRAMENTO NATURAL 0 SACRAMENTO NATUR SACRAMENTO CA US","-81.34","","","-65.91"
"1/15/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","134.09"
"1/16/2024","","DEBIT","Withdrawal  @ SPLICE.COM* SPLICE 0 SPLICE.COM* SPLI SPLICE.COM NY US","-9.99","","","124.1"
"1/17/2024","","DEBIT","Withdrawal  @ BONFARE MARKET #33 0 BONFARE MARKET # SACRAMENTO CA US","-8.38","","","115.72"
"1/18/2024","","DEBIT","Withdrawal  @ ATMGO864654 2820 R STREET CSSI0 GOLDEN 1 CU SACRAMENTO CA US","-80","","","35.72"
"1/19/2024","","DEBIT","Withdrawal  @ SPOTIFY 0 SPOTIFY 877-778-1161 NY US","-10.99","","","24.73"
"1/19/2024","","DEBIT","Withdrawal  @ Prime Video Channel 0 Prime Video Chan amzn.com/billWA US","-11.99","","","12.74"
"1/20/2024","","CREDIT","Checking Deposit  @ G1 Online Transfer 'STD' 500.00 from share 0","","500","","512.74"
"1/20/2024","","DEBIT","Withdrawal  @ VENMO* 0 VENMO* Visa Direct NY US","-60","","","452.74"
"1/20/2024","","DEBIT","Withdrawal  @ VENMO* 0 VENMO* Visa Direct NY US","-60","","","392.74"
"1/21/2024","","DEBIT","Withdrawal  @ CAPITOL BOWL 0 CAPITOL BOWL WEST SACRAMENCA US","-24.07","","","368.67"
"1/21/2024","","DEBIT","Withdrawal  @ CAPITOL BOWL 0 CAPITOL BOWL WEST SACRAMENCA US","-9","","","359.67"
"1/21/2024","","DEBIT","Withdrawal  @ CITYOFSAC-PARKINGWE 0 CITYOFSAC-PARKIN 916-808-5110 CA US","-107.5","","","252.17"
"1/21/2024","","DEBIT","Withdrawal  @ AUTOZONE 5593 1900 0 AUTOZONE 5593 1 SACRAMENTO CA US","-30.44","","","221.73"
"1/21/2024","","DEBIT","Withdrawal  @ KUPROS CRAFT HOUSE 0 KUPROS CRAFT HOU SACRAMENTO CA US","-6.2","","","215.53"
"1/22/2024","","DEBIT","Withdrawal  @ LOVE LAUNDRY 0 LOVE LAUNDRY SACRAMENTO CA US","-15","","","200.53"
"1/22/2024","","DEBIT","Withdrawal  @ LOVE LAUNDRY 0 LOVE LAUNDRY SACRAMENTO CA US","-9.85","","","190.68"
"1/22/2024","","DEBIT","Withdrawal  @ AZUL MEXICAN FOOD & 0 AZUL MEXICAN FOO SACRAMENTO CA US","-30.4","","","160.28"
"1/22/2024","","DEBIT","Withdrawal  @ APPLE.COM/BILL 0 APPLE.COM/BILL 866-712-7753 CA US","-12.99","","","147.29"
"1/22/2024","","DEBIT","Withdrawal  @ AMZN Mktp US*R81K97 0 AMZN Mktp US*R81 Amzn.com/billWA US","-26.07","","","121.22"
"1/23/2024","","DEBIT","Withdrawal  @ NETFLIX COM 0 NETFLIX COM LOS GATOS CA US","-15.49","","","105.73"
"1/23/2024","","DEBIT","Withdrawal  @ SQ *TEMPLE COFFEE? 0 SQ *TEMPLE COFFE Sacramento CA US","-6.9","","","98.83"
"1/23/2024","","DEBIT","Withdrawal  @ LYFT RIDE TUE 12P 0 LYFT RIDE TUE 855-865-9553 CA US","-24.99","","","73.84"
"1/23/2024","","DEBIT","Withdrawal  @ 809 20TH ST 0 BONFARE MARKET # SACRAMENTO CA US","-21.19","","","52.65"
"1/24/2024","","DEBIT","Withdrawal  @ FLOWCHART FUN PRO 0 FLOWCHART FUN PR HTTPSFLOWCHARNC US","-3","","","49.65"
"1/24/2024","","DEBIT","Withdrawal  @ SAFEWAY #2242 0 SAFEWAY #2242 SACRAMENTO CA US","-23.54","","","26.11"
"1/25/2024","","DEBIT","Withdrawal  @ Prime Video *R01X47 0 Prime Video *R01 888-802-3080 WA US","-3.99","","","22.12"
"1/25/2024","","DEBIT","Withdrawal  @ KAISER PHARM 02971 0 KAISER PHARM 029 SACRAMENTO CA US","-15","","","7.12"
"1/25/2024","","DEBIT","Withdrawal  @ SQ *TEMPLE COFFEE 0 SQ *TEMPLE COFFE Sacramento CA US","-22.45","","","-15.33"
"1/25/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","184.67"
"1/26/2024","","DEBIT","Withdrawal  @ AUTOZONE 5593 1900 0 AUTOZONE 5593 1 SACRAMENTO CA US","-72.83","","","111.84"
"1/28/2024","","DEBIT","Withdrawal  @ CASH APP*NEIL ANDRA 0 CASH APP*NEIL AN 800-9691940 CA US","-10","","","101.84"
"1/28/2024","","CREDIT","Checking Deposit  @ G1 Online Transfer 'STD' 400.00 from share 0","","400","","501.84"
"1/28/2024","","DEBIT","Withdrawal  @ SQ *ON THE Y 0 SQ *ON THE Y Sacramento CA US","-36.56","","","465.28"
"1/28/2024","","DEBIT","Withdrawal  @ CVS/PHARMACY #09 09 0 CVS/PHARMACY #09 Campbell CA US","-21.86","","","443.42"
"1/28/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","643.42"
"1/28/2024","","DEBIT","Withdrawal  @ Prime Video Channel 0 Prime Video Chan amzn.com/billWA US","-0.99","","","642.43"
"1/28/2024","","DEBIT","Withdrawal  @ ENTERPRISE RENT-A-C 0 ENTERPRISE RENT- SACRAMENTO CA US","-417.99","","","224.44"
"1/29/2024","","DEBIT","Withdrawal  @ APPLE CASH SENT MON 0 APPLE CASH SENT 1INFINITELOOPCA US","-20","","","204.44"
"1/30/2024","","DEBIT","Withdrawal-ACH-A-1096016 ATT (Payment)","-79.99","","","124.45"
"1/30/2024","","DEBIT","Withdrawal  @ SACRAMENTO NATURAL 0 SACRAMENTO NATUR SACRAMENTO CA US","-73","","","51.45"
"1/30/2024","","CREDIT","Checking Deposit  @ ENTERPRISE RENT-A-C 0 ENTERPRISE RENT- SACRAMENTO CA US","","300","","351.45"
"1/31/2024","","DEBIT","Withdrawal  @ EMBRACE PET INSURAN 0 EMBRACE PET INSU HELLO@EMBRACEOH US","-17.89","","","333.56"
"1/31/2024","","DEBIT","Withdrawal  @ CVS/PHARMACY #04 04 0 CVS/PHARMACY #04 Rancho CordovCA US","-2.09","","","331.47"
"1/31/2024","","CREDIT","Checking Deposit  @ G1 Online Transfer 'STD' 241.00 from share 0","","241","","572.47"
"1/31/2024","","CREDIT","Checking Deposit  @ G1 Online Transfer 169.00 from LV 1","","169","","741.47"
"2/1/2024","","DEBIT","Withdrawal  @ GOOGLE *GSUITE bark 0 GOOGLE *GSUITE b cc@google.comCA US","-14.4","","","727.07"
"2/1/2024","","DEBIT","Withdrawal  @ SOUNDCLOUD INC 0 SOUNDCLOUD INC 176-3257837 NY US","-16","","","711.07"
"2/2/2024","","DEBIT","Withdrawal  @ APPLE.COM/BILL 0 APPLE.COM/BILL 866-712-7753 CA US","-2.99","","","708.08"
"2/2/2024","","DEBIT","Withdrawal-ACH-A-990166 WEBHomeRiver Group (WEB PMTS)","-700","","","8.08"
"2/5/2024","","DEBIT","Withdrawal-ACH-A-861479 GEICO (PREM COLL)","-53.09","","","-45.01"
"2/5/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","0.74","","-44.27"
"2/5/2024","","DEBIT","Withdrawal COURTESY PAY FEE 20.00","-20","","","-64.27"
"2/5/2024","","CREDIT","A Courtesy Payment was made for the amount of 44.27.","","0","","0.0"
"2/6/2024","","CREDIT","Checking Deposit  @ G1 Online Transfer 'STD' 200.00 from share 0","","200","","135.73"
"2/7/2024","","DEBIT","Withdrawal  @ 809 20TH ST 0 BONFARE MARKET # SACRAMENTO CA US","-47.24","","","88.49"
"2/7/2024","","DEBIT","Withdrawal  @ SQ *TEMPLE COFFEE 0 SQ *TEMPLE COFFE Sacramento CA US","-16.25","","","72.24"
"2/7/2024","","CREDIT","Checking Deposit  @ G1 Online Transfer 'STD' 200.00 from share 0","","200","","272.24"
"2/7/2024","","DEBIT","Withdrawal  @ SACRAMENTO NATURAL 0 SACRAMENTO NATUR SACRAMENTO CA US","-279","","","-6.76"
"2/7/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","193.24"
"2/8/2024","","DEBIT","Withdrawal  @ LA POPULAR SUPERMAR 0 LA POPULAR SUPER SACRAMENTO CA US","-13.79","","","179.45"
"2/8/2024","","DEBIT","Withdrawal-ACH-A-990166 WEBHomeRiver Group (WEB PMTS)","-55","","","124.45"
"2/8/2024","","DEBIT","Withdrawal  @ AMZN Mktp US*R25DN1 0 AMZN Mktp US*R25 Amzn.com/billWA US","-17.17","","","107.28"
"2/8/2024","","DEBIT","Withdrawal  @ 809 20TH ST 0 BONFARE MARKET # SACRAMENTO CA US","-15","","","92.28"
"2/9/2024","","DEBIT","Withdrawal  @ ERAC TOLL 37Q811 0 ERAC TOLL 37Q811 877-860-1258 CA US","-11.95","","","80.33"
"2/9/2024","","DEBIT","Withdrawal-ACH-A-1064712 WEBSMUD (WEB PAY)","-185.27","","","-104.94"
"2/9/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","95.06"
"2/9/2024","","DEBIT","Withdrawal  @ 3539 BRADSHAW ROAD 0 FALAFEL CORNER SACRAMENTO CA US","-14.83","","","80.23"
"2/9/2024","","DEBIT","Withdrawal  @ Coyni 877 371 6122 0 Coyni 877 371 61 Miami FL US","-22.32","","","57.91"
"2/9/2024","","DEBIT","Withdrawal  @ Coyni 877 371 6122 0 Coyni 877 371 61 Miami FL US","-31.78","","","26.13"
"2/9/2024","","DEBIT","Withdrawal  @ AMAZON.COM*RB6UF4QG 0 AMAZON.COM*RB6UF SEATTLE WA US","-3.62","","","22.51"
"2/10/2024","","DEBIT","Withdrawal  @ STARBUCKS STORE 058 0 STARBUCKS STORE SACRAMENTO CA US","-5.25","","","17.26"
"2/11/2024","","DEBIT","Withdrawal  @ Prime Video *RI5QO8 0 Prime Video *RI5 888-802-3080 WA US","-5.99","","","11.27"
"2/11/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","211.27"
"2/11/2024","","DEBIT","Withdrawal  @ TST* EL RINCON MEXI 0 TST* EL RINCON M SACRAMENTO CA US","-31.9","","","179.37"
"2/11/2024","","DEBIT","Withdrawal  @ SACRAMENTO NATURAL 0 SACRAMENTO NATUR SACRAMENTO CA US","-94.99","","","84.38"
"2/11/2024","","DEBIT","Withdrawal  @ SOCAL'S TAVERN 0 SOCAL'S TAVERN SACRAMENTO CA US","-8.61","","","75.77"
"2/12/2024","","DEBIT","Withdrawal  @ LOVE LAUNDRY 0 LOVE LAUNDRY SACRAMENTO CA US","-7.5","","","68.27"
"2/12/2024","","DEBIT","Withdrawal  @ LOVE LAUNDRY 0 LOVE LAUNDRY SACRAMENTO CA US","-11.33","","","56.94"
"2/12/2024","","DEBIT","Withdrawal-ACH-A-983291 WEBADVS ED SERV WEB (STUDNTLOAN)","-151.08","","","-94.14"
"2/12/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","105.86"
"2/12/2024","","DEBIT","Withdrawal  @ ORBIT WASH 0 ORBIT WASH SACRAMENTO CA US","-12.5","","","93.36"
"2/13/2024","","DEBIT","Withdrawal  @ VENMO *Ana Rodrigu 0 VENMO *Ana Rodr Visa Direct NY US","-35","","","58.36"
"2/14/2024","","DEBIT","Withdrawal  @ AMZN Mktp US*RB8DU1 0 AMZN Mktp US*RB8 Amzn.com/billWA US","-36.87","","","21.49"
"2/14/2024","","DEBIT","Withdrawal  @ CA DMV FEE 0 CA DMV FEE 678-7315516 TN US","-0.04","","","21.45"
"2/14/2024","","DEBIT","Withdrawal  @ STATE OF CALIF DMV 0 STATE OF CALIF D 800-7770133 CA US","-2","","","19.45"
"2/14/2024","","DEBIT","Withdrawal  @ Coyni 877 371 6122 0 Coyni 877 371 61 Miami FL US","-16.66","","","2.79"
"2/14/2024","","CREDIT","Checking Deposit  @ G1 Online Transfer 'STD' 50.00 from share 0","","50","","52.79"
"2/14/2024","","DEBIT","Withdrawal  @ DALEK ONE* SUBSCR 1 0 DALEK ONE* SUBSC HTTPSDALEKONEMN US","-7","","","45.79"
"2/14/2024","","DEBIT","Withdrawal  @ Prime Video *RB6L99 0 Prime Video *RB6 888-802-3080 WA US","-5.99","","","39.8"
"2/15/2024","","DEBIT","Withdrawal  @ 809 20TH ST 0 BONFARE MARKET # SACRAMENTO CA US","-4.99","","","34.81"
"2/15/2024","","DEBIT","Withdrawal  @ SAFEWAY #2242 0 SAFEWAY #2242 SACRAMENTO CA US","-62.95","","","-28.14"
"2/15/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","171.86"
"2/15/2024","","DEBIT","Withdrawal  @ SAIGON CORNER 0 SAIGON CORNER SACRAMENTO CA US","-13.12","","","158.74"
"2/15/2024","","DEBIT","Withdrawal  @ SPLICE.COM* CREDITB 0 SPLICE.COM* CRED SPLICE.COM NY US","-4.99","","","153.75"
"2/15/2024","","DEBIT","Withdrawal  @ SPLICE.COM* CREDITB 0 SPLICE.COM* CRED SPLICE.COM NY US","-4.99","","","148.76"
"2/16/2024","","DEBIT","Withdrawal  @ TST* THE FLAMINGO H 0 TST* THE FLAMING SACRAMENTO CA US","-18.94","","","129.82"
"2/16/2024","","DEBIT","Withdrawal  @ SPLICE.COM* SPLICE 0 SPLICE.COM* SPLI SPLICE.COM NY US","-9.99","","","119.83"
"2/17/2024","","DEBIT","Withdrawal  @ SQ *TEMPLE COFFEE 0 SQ *TEMPLE COFFE Sacramento CA US","-27.8","","","92.03"
"2/17/2024","","DEBIT","Withdrawal  @ SQ *ZENA FOODS & SP 0 SQ *ZENA FOODS & SACRAMENTO CA US","-9","","","83.03"
"2/18/2024","","DEBIT","Withdrawal  @ SAFEWAY #2242 0 SAFEWAY #2242 SACRAMENTO CA US","-67.94","","","15.09"
"2/19/2024","","CREDIT","Checking Deposit  @ G1 Online Transfer 'STD' 50.00 from share 0","","50","","65.09"
